filename|raw_text|normalized_text
003822_RUSLAN|Редактором журнала Хоккей-футбол.|Редактором журнала Хоккей-футбол.
003823_RUSLAN|А футбол и хоккей заменяют советским людям религию и культуру.|А футбол и хоккей заменяют советским людям религию и культуру.
003824_RUSLAN|По части эмоционального воздействия у хоккея единственный соперник алкоголь.|По части эмоционального воздействия у хоккея единственный соперник алкоголь.
003825_RUSLAN|Когда Баскин приезжал с лекциями в Харьков и Челябинск, останавливались тракторные заводы.|Когда Баскин приезжал с лекциями в Харьков и Челябинск, останавливались тракторные заводы.
003826_RUSLAN|Вечерняя смена уходила с предприятий.|Вечерняя смена уходила с предприятий.
003827_RUSLAN|Эмигрировал Баскин, поругавшись с влиятельным инструктором цека.|Эмигрировал Баскин, поругавшись с влиятельным инструктором цека.
003828_RUSLAN|Случилось это на идейной почве.|Случилось это на идейной почве.
003829_RUSLAN|Поскольку спорт у нас явление идеологическое.|Поскольку спорт у нас явление идеологическое.
003830_RUSLAN|А Эрик в одном из репортажей чересчур хвалил канадских хоккеистов.|А Эрик в одном из репортажей чересчур хвалил канадских хоккеистов.
003831_RUSLAN|И его уволили после неприятного разговора в Центральном Комитете.|И его уволили после неприятного разговора в Центральном Комитете.
003832_RUSLAN|Прощаясь, инструктор сказал|Прощаясь, инструктор сказал
003833_RUSLAN|У меня к вам просьба.|У меня к вам просьба.
003834_RUSLAN|Объясните коллегам, что вы уходите из редакции по состоянию здоровья.|Объясните коллегам, что вы уходите из редакции по состоянию здоровья.
003835_RUSLAN|Надеюсь, вам понятно?|Надеюсь, вам понятно?
003836_RUSLAN|Баскин ответил|Баскин ответил
003837_RUSLAN|Товарищ инструктор!|Товарищ инструктор!
003838_RUSLAN|Вообразите такую ситуацию.|Вообразите такую ситуацию.
003839_RUSLAN|Допустим, вам изменила жена.|Допустим, вам изменила жена.
003840_RUSLAN|И после этого заразила вас гонореей.|И после этого заразила вас гонореей.
003841_RUSLAN|Вы подаете на развод.|Вы подаете на развод.
003842_RUSLAN|А жена обращается к вам с просьбой Вася, объясни коллегам, что мы разводимся, поскольку ты импотент.|А жена обращается к вам с просьбой Вася, объясни коллегам, что мы разводимся, поскольку ты импотент.
003843_RUSLAN|Инструктор позеленел и указал Баскину на дверь.|Инструктор позеленел и указал Баскину на дверь.
003844_RUSLAN|Виля Мокер работал на ленинградском телевидении.|Виля Мокер работал на ленинградском телевидении.
003845_RUSLAN|Вряд ли он был звездой, но прохожие его узнавали.|Вряд ли он был звездой, но прохожие его узнавали.
003846_RUSLAN|Уехал Виля потому, что был евреем и страдал от антисемитизма.|Уехал Виля потому, что был евреем и страдал от антисемитизма.
003847_RUSLAN|При слове еврей он лез драться.|При слове еврей он лез драться.
003848_RUSLAN|Он был уверен, что еврей ругательство.|Он был уверен, что еврей ругательство.
003849_RUSLAN|Дроздов трудился в отделе пропаганды Смены.|Дроздов трудился в отделе пропаганды Смены.
003850_RUSLAN|А пропагандировать, как известно, можно все.|А пропагандировать, как известно, можно все.
003851_RUSLAN|От светлого коммунистического будущего и фиолетовых гусиных желудков до произведений художника Налбандяна и зловонных резиновых бот.|От светлого коммунистического будущего и фиолетовых гусиных желудков до произведений художника Налбандяна и зловонных резиновых бот.
003852_RUSLAN|Это породило в Дроздове легкую моральную неразборчивость.|Это породило в Дроздове легкую моральную неразборчивость.
003853_RUSLAN|Помню, редактор Смены говорил о нем|Помню, редактор Смены говорил о нем
003854_RUSLAN|У этого даже задница почтительная.|У этого даже задница почтительная.
003856_RUSLAN|О политических мотивах здесь нечего и говорить.|О политических мотивах здесь нечего и говорить.
003857_RUSLAN|Ходили слухи, что Дроздов бежал от алиментов.|Ходили слухи, что Дроздов бежал от алиментов.
003858_RUSLAN|Но человек он был довольно умелый и работящий.|Но человек он был довольно умелый и работящий.
003859_RUSLAN|А это главное.|А это главное.
003860_RUSLAN|О себе я уже рассказывал в первой книге.|О себе я уже рассказывал в первой книге.
003862_RUSLAN|Мокер продолжал энергично действовать.|Мокер продолжал энергично действовать.
003863_RUSLAN|Звонил в различные организации.|Звонил в различные организации.
003864_RUSLAN|Начиная с Толстовского фонда и кончая Лигой защиты евреев.|Начиная с Толстовского фонда и кончая Лигой защиты евреев.
003865_RUSLAN|Мокеру назначали ежедневно по шесть деловых свиданий.|Мокеру назначали ежедневно по шесть деловых свиданий.
003866_RUSLAN|Все это обнадеживало нашего лидера.|Все это обнадеживало нашего лидера.
003867_RUSLAN|Видно, он был слегка дезориентирован американской любезностью.|Видно, он был слегка дезориентирован американской любезностью.
003868_RUSLAN|Куда ни позвонишь, везде отвечают|Куда ни позвонишь, везде отвечают
003869_RUSLAN|Заходите, например, шестого мая в одиннадцать тридцать.|Заходите, например, шестого мая в одиннадцать тридцать.
003870_RUSLAN|В Союзе было по-другому.|В Союзе было по-другому.
003872_RUSLAN|Если тебе открыто не хамят, значит дело будет решено в положительном смысле.|Если тебе открыто не хамят, значит дело будет решено в положительном смысле.
003874_RUSLAN|Поскольку некоторые чиновники хамят автоматически, рефлекторно.|Поскольку некоторые чиновники хамят автоматически, рефлекторно.
003875_RUSLAN|Такое хамство одинаково близко соловьиному пению и рычанию льва.|Такое хамство одинаково близко соловьиному пению и рычанию льва.
003876_RUSLAN|Здесь все иначе.|Здесь все иначе.
003877_RUSLAN|Беседуют вежливо, улыбаются, наливают кофе.|Беседуют вежливо, улыбаются, наливают кофе.
003878_RUSLAN|Любезно тебя выслушивают.|Любезно тебя выслушивают.
003879_RUSLAN|Затем печально говорят|Затем печально говорят
003880_RUSLAN|Сожалеем, но мы лишены удовольствия воспользоваться данными предложениями.|Сожалеем, но мы лишены удовольствия воспользоваться данными предложениями.
003881_RUSLAN|Наша фирма чересчур скромна для осуществления вашего талантливого, блестящего проекта.|Наша фирма чересчур скромна для осуществления вашего талантливого, блестящего проекта.
003883_RUSLAN|Иногда после этого даже записывают номер телефона.|Иногда после этого даже записывают номер телефона.
003884_RUSLAN|Однако лидер не сдавался.|Однако лидер не сдавался.
003885_RUSLAN|Стояло влажное и душное нью-йоркское лето.|Стояло влажное и душное нью-йоркское лето.
003886_RUSLAN|В мягком асфальте поблескивали колечки от содовых банок.|В мягком асфальте поблескивали колечки от содовых банок.
003887_RUSLAN|Они напоминали драгоценные перстни.|Они напоминали драгоценные перстни.
003888_RUSLAN|Небоскребы в Манхеттене были окутаны клубами горячего пара.|Небоскребы в Манхеттене были окутаны клубами горячего пара.
003889_RUSLAN|Бесчисленные кондиционеры орошали прохожих теплым дождем.|Бесчисленные кондиционеры орошали прохожих теплым дождем.
003890_RUSLAN|Режущие звуки тормозов и грохот джаза сливались в одну чудовищную какофонию.|Режущие звуки тормозов и грохот джаза сливались в одну чудовищную какофонию.
003891_RUSLAN|Мокер ходил по улице в костюме-тройке, дарованном ему синагогой.|Мокер ходил по улице в костюме-тройке, дарованном ему синагогой.
003892_RUSLAN|В руках он держал бесформенный советский портфель эпохи Коминтерна.|В руках он держал бесформенный советский портфель эпохи Коминтерна.
003893_RUSLAN|Там хранилась удобная складная вешалка.|Там хранилась удобная складная вешалка.
003894_RUSLAN|В метро наш лидер, достав ее из портфеля, быстро раздевался.|В метро наш лидер, достав ее из портфеля, быстро раздевался.
003895_RUSLAN|Пиджак и жилет терпеливо держал он на вытянутой руке.|Пиджак и жилет терпеливо держал он на вытянутой руке.
003896_RUSLAN|Галстук с изображением американского флага делал Мокера похожим на удавленника.|Галстук с изображением американского флага делал Мокера похожим на удавленника.
003897_RUSLAN|Ослабить узел было невозможно.|Ослабить узел было невозможно.
003898_RUSLAN|Завязать его Виля мог только перед зеркалом.|Завязать его Виля мог только перед зеркалом.
003899_RUSLAN|Покидая сабвей, Мокер вновь одевался.|Покидая сабвей, Мокер вновь одевался.
003900_RUSLAN|На переговоры шел в костюме.|На переговоры шел в костюме.
003902_RUSLAN|Дроздов между тем нашел себе временную работу.|Дроздов между тем нашел себе временную работу.
003903_RUSLAN|Устроился на базу перетаскивать свиные туши и рыбу.|Устроился на базу перетаскивать свиные туши и рыбу.
003904_RUSLAN|Закончилось все это довольно грустным инцидентом.|Закончилось все это довольно грустным инцидентом.
003905_RUSLAN|Дроздов украл килограмма четыре мороженого трескового филе.|Дроздов украл килограмма четыре мороженого трескового филе.
003906_RUSLAN|Сунул ледяной брикет под рубашку.|Сунул ледяной брикет под рубашку.
003907_RUSLAN|Час ехал таким образом в сабвее.|Час ехал таким образом в сабвее.
003908_RUSLAN|Филе начало таять.|Филе начало таять.
003909_RUSLAN|У Дроздова подозрительно закапало из брюк.|У Дроздова подозрительно закапало из брюк.
003911_RUSLAN|Настолько, что два индуса, ворча, пересели.|Настолько, что два индуса, ворча, пересели.
003912_RUSLAN|И к тому же наутро Дроздов заболел воспалением легких.|И к тому же наутро Дроздов заболел воспалением легких.
003913_RUSLAN|Баскин держался уверенно и спокойно.|Баскин держался уверенно и спокойно.
003914_RUSLAN|К нему, человеку знаменитому, проявляли интерес американские журналисты.|К нему, человеку знаменитому, проявляли интерес американские журналисты.
003915_RUSLAN|Интервью с ним появились в нескольких крупных газетах.|Интервью с ним появились в нескольких крупных газетах.
003916_RUSLAN|Его жена Диана поступила на курсы медсестер.|Его жена Диана поступила на курсы медсестер.
003917_RUSLAN|А я тем временем нашел себе литературного переводчика.|А я тем временем нашел себе литературного переводчика.
003918_RUSLAN|Вернее, переводчицу.|Вернее, переводчицу.
003920_RUSLAN|Родители Линн еще до войны бежали через Польшу из Шклова.|Родители Линн еще до войны бежали через Польшу из Шклова.
003921_RUSLAN|Дочка родилась уже в Америке.|Дочка родилась уже в Америке.
003922_RUSLAN|По-русски говорила довольно хорошо, но с заметным акцентом.|По-русски говорила довольно хорошо, но с заметным акцентом.
003923_RUSLAN|Познакомил нас Иосиф Бродский.|Познакомил нас Иосиф Бродский.
003924_RUSLAN|Вернее, рекомендовал ей заняться моими сочинениями.|Вернее, рекомендовал ей заняться моими сочинениями.
003925_RUSLAN|Линн позвонила, и я выслал ей тяжелую бандероль.|Линн позвонила, и я выслал ей тяжелую бандероль.
003926_RUSLAN|Затем она надолго исчезла.|Затем она надолго исчезла.
003927_RUSLAN|Месяца через два позвонила снова и говорит|Месяца через два позвонила снова и говорит
003928_RUSLAN|Скоро будет готов черновой вариант.|Скоро будет готов черновой вариант.
003929_RUSLAN|Я пришлю вам копию.|Я пришлю вам копию.
003930_RUSLAN|Зачем? спрашиваю.|Зачем? спрашиваю.
003931_RUSLAN|Я же не читаю по-английски.|Я же не читаю по-английски.
003932_RUSLAN|Вас не интересует перевод?|Вас не интересует перевод?
003933_RUSLAN|Вы сможете показать его знакомым.|Вы сможете показать его знакомым.
003934_RUSLAN|Как будто мои знакомые Хемингуэй и Фолкнер.|Как будто мои знакомые Хемингуэй и Фолкнер.
003936_RUSLAN|Откровенно говоря, я не питал иллюзий.|Откровенно говоря, я не питал иллюзий.
003937_RUSLAN|Вряд ли перевод окажется хорошим.|Вряд ли перевод окажется хорошим.
003938_RUSLAN|Ведь герои моих рассказов зэки, фарцовщики, спившаяся богема.|Ведь герои моих рассказов зэки, фарцовщики, спившаяся богема.
003939_RUSLAN|Все они разговаривают на диком жаргоне.|Все они разговаривают на диком жаргоне.
003940_RUSLAN|Большую часть всего этого даже моя жена не понимает.|Большую часть всего этого даже моя жена не понимает.
003941_RUSLAN|Так что же говорить о юной американке?|Так что же говорить о юной американке?
003942_RUSLAN|Как, например, можно перевести такие выражения Игруля с Пердиловки. Или Бздиловатой конь породы. Или, допустим Все люди как люди, а ты как хрен на блюде. И так далее.|Как, например, можно перевести такие выражения Игруля с Пердиловки. Или Бздиловатой конь породы. Или, допустим Все люди как люди, а ты как хрен на блюде. И так далее.
003943_RUSLAN|Я сказал переводчице|Я сказал переводчице
003944_RUSLAN|Мы должны обсудить некоторые финансовые проблемы.|Мы должны обсудить некоторые финансовые проблемы.
003945_RUSLAN|Платить я сейчас не могу.|Платить я сейчас не могу.
003946_RUSLAN|Я знаю Бродский говорил мне.|Я знаю Бродский говорил мне.
003947_RUSLAN|Если хотите, будем соавторами.|Если хотите, будем соавторами.
003948_RUSLAN|В случае успеха гонорар делим пополам.|В случае успеха гонорар делим пополам.
003949_RUSLAN|Предложение было нахальное.|Предложение было нахальное.
003950_RUSLAN|Какие уж там гонорары!|Какие уж там гонорары!
003951_RUSLAN|Если даже Бродский вынужден заниматься преподавательской работой.|Если даже Бродский вынужден заниматься преподавательской работой.
003952_RUSLAN|Линн согласилась.|Линн согласилась.
003953_RUSLAN|Кстати, это был единственный трезвый финансовый шаг, который я предпринял в Америке.|Кстати, это был единственный трезвый финансовый шаг, который я предпринял в Америке.
003954_RUSLAN|Мокер звонил нам каждый вечер.|Мокер звонил нам каждый вечер.
003955_RUSLAN|Голос его звучал все менее уверенно.|Голос его звучал все менее уверенно.
003956_RUSLAN|Мы уже теряли надежду.|Мы уже теряли надежду.
003957_RUSLAN|Да и стоило ли надеяться?|Да и стоило ли надеяться?
003958_RUSLAN|Работать по специальности в Америке!|Работать по специальности в Америке!
003959_RUSLAN|Писать и говорить, что думаешь, на русском языке!|Писать и говорить, что думаешь, на русском языке!
003960_RUSLAN|Да еще и получать небольшую зарплату!|Да еще и получать небольшую зарплату!
003961_RUSLAN|Уж слишком фантастической казалась нам такая перспектива.|Уж слишком фантастической казалась нам такая перспектива.
003962_RUSLAN|Выздоровевший Дроздов поступил на шоферские курсы.|Выздоровевший Дроздов поступил на шоферские курсы.
003963_RUSLAN|Чтобы в дальнейшем арендовать такси.|Чтобы в дальнейшем арендовать такси.
003964_RUSLAN|Жена Вили Мокера работала сиделкой.|Жена Вили Мокера работала сиделкой.
003965_RUSLAN|Моя жена продолжала служить в конторе у Боголюбова.|Моя жена продолжала служить в конторе у Боголюбова.
003966_RUSLAN|Диане Баскиной удалось получить небольшую стипендию.|Диане Баскиной удалось получить небольшую стипендию.
003967_RUSLAN|Однажды мы пили чай у Баскина на кухне.|Однажды мы пили чай у Баскина на кухне.
003968_RUSLAN|Вдруг зазвонил телефон.|Вдруг зазвонил телефон.
003969_RUSLAN|Эрик снял трубку.|Эрик снял трубку.
003970_RUSLAN|з уличного шума выплыл торжествующий голос Мокера|з уличного шума выплыл торжествующий голос Мокера
003971_RUSLAN|Я раздобыл деньги!|Я раздобыл деньги!
003972_RUSLAN|Звоню из автомата.|Звоню из автомата.
003973_RUSLAN|Сенсация, язвительно произнес Баскин, Виля Мокер раздобыл десять центов.|Сенсация, язвительно произнес Баскин, Виля Мокер раздобыл десять центов.
003974_RUSLAN|Болван! закричал Мокер.|Болван! закричал Мокер.
003975_RUSLAN|Я достал шестнадцать тысяч!|Я достал шестнадцать тысяч!
003976_RUSLAN|Представь себе, шестнадцать тысяч!|Представь себе, шестнадцать тысяч!
003977_RUSLAN|Мы победили!..|Мы победили!.
003978_RUSLAN|Было такое ощущение, что Мокер слегка помешался.|Было такое ощущение, что Мокер слегка помешался.
003979_RUSLAN|Он так кричал, что мы все хорошо его слышали.|Он так кричал, что мы все хорошо его слышали.
003980_RUSLAN|Баскин, морщась, отодвинул трубку.|Баскин, морщась, отодвинул трубку.
003981_RUSLAN|Диана из кухни спросила|Диана из кухни спросила
003982_RUSLAN|Чего он хочет?|Чего он хочет?
003983_RUSLAN|А Мокер все не унимался|А Мокер все не унимался
003984_RUSLAN|Мы просидели два часа в шикарном ресторане Блимпи.|Мы просидели два часа в шикарном ресторане Блимпи.
003985_RUSLAN|Я почти не заглядывал в словарь.|Я почти не заглядывал в словарь.
003986_RUSLAN|Я был в ударе.|Я был в ударе.
003987_RUSLAN|Даже официанты прислушивались к нашему разговору.|Даже официанты прислушивались к нашему разговору.
003988_RUSLAN|Наконец он сдался, протянул мне руку и воскликнул Фаин!|Наконец он сдался, протянул мне руку и воскликнул Фаин!
003990_RUSLAN|Америка нуждается в тебе!..|Америка нуждается в тебе!.
003991_RUSLAN|Мокер запнулся и деликатно прибавил|Мокер запнулся и деликатно прибавил
003992_RUSLAN|И в твоих друзьях.|И в твоих друзьях.
003994_RUSLAN|Теоретически у нас в кармане.|Теоретически у нас в кармане.
003995_RUSLAN|Я чувствую, он даст!|Я чувствую, он даст!
003996_RUSLAN|Ларри Швейцер!|Ларри Швейцер!
003997_RUSLAN|Кто такой Ларри Швейцер?|Кто такой Ларри Швейцер?
003998_RUSLAN|Это большой человек!|Это большой человек!
003999_RUSLAN|Настоящий капиталист!..|Настоящий капиталист!.
004000_RUSLAN|Я все объясню.|Я все объясню.
004001_RUSLAN|Не расходитесь.|Не расходитесь.
004002_RUSLAN|Пошлите Дроздова за водкой.|Пошлите Дроздова за водкой.
004003_RUSLAN|Я беру машину.|Я беру машину.
004004_RUSLAN|Но у меня всего шесть долларов и токен.|Но у меня всего шесть долларов и токен.
004005_RUSLAN|Скиньтесь понемногу и ждите меня внизу.|Скиньтесь понемногу и ждите меня внизу.
004006_RUSLAN|Через полчаса я уже разливал водку.|Через полчаса я уже разливал водку.
004007_RUSLAN|Диана приготовила фирменный салат.|Диана приготовила фирменный салат.
004008_RUSLAN|В салате были грибы, огурцы,|В салате были грибы, огурцы,
004009_RUSLAN|черносливы, редиска, но преобладали макароны.|черносливы, редиска, но преобладали макароны.
004010_RUSLAN|Мокер говорил торопливо, сбивчиво и невнятно.|Мокер говорил торопливо, сбивчиво и невнятно.
004011_RUSLAN|Вот что я усвоил из его рассказа.|Вот что я усвоил из его рассказа.
004012_RUSLAN|Есть такой Ларри Швейцер.|Есть такой Ларри Швейцер.
004013_RUSLAN|Мокер познакомился с ним в еврейском центре.|Мокер познакомился с ним в еврейском центре.
004014_RUSLAN|Швейцер адвокат и бизнесмен.|Швейцер адвокат и бизнесмен.
004015_RUSLAN|Скупает разоренные кварталы в Бруклине.|Скупает разоренные кварталы в Бруклине.
004016_RUSLAN|Делает косметический ремонт.|Делает косметический ремонт.
004017_RUSLAN|И затем поселяет там русских эмигрантов.|И затем поселяет там русских эмигрантов.
004018_RUSLAN|То есть возрождает город.|То есть возрождает город.
004019_RUSLAN|При этом мечтает сыграть какую-то общественную роль.|При этом мечтает сыграть какую-то общественную роль.
004020_RUSLAN|А потом чуть ли не баллотироваться в Конгресс.|А потом чуть ли не баллотироваться в Конгресс.
004021_RUSLAN|Для этого ему нужна общественная репутация.|Для этого ему нужна общественная репутация.
004022_RUSLAN|Чтобы заслужить ее.|Чтобы заслужить ее.
004023_RUSLAN|Швейцер учредил Комитет.|Швейцер учредил Комитет.
004024_RUSLAN|Задача Комитета оказание помощи российским беженцам.|Задача Комитета оказание помощи российским беженцам.
004025_RUSLAN|Параллельно Швейцер организовал курсы английского языка и музей неофициальной советской живописи.|Параллельно Швейцер организовал курсы английского языка и музей неофициальной советской живописи.
004026_RUSLAN|Мокер, кажется, сумел убедить Ларри Швейцера в необходимости еще одной русской газеты.|Мокер, кажется, сумел убедить Ларри Швейцера в необходимости еще одной русской газеты.
004027_RUSLAN|Причем Швейцеру вовсе не обязательно тратить собственные деньги.|Причем Швейцеру вовсе не обязательно тратить собственные деньги.
004028_RUSLAN|Он может содействовать нам в получении долгосрочного займа.|Он может содействовать нам в получении долгосрочного займа.
004029_RUSLAN|Речь идет о пятнадцати двадцати тысячах.|Речь идет о пятнадцати двадцати тысячах.
004030_RUSLAN|Итак, газета нужна этому типу как выразительный штрих общественной репутации.|Итак, газета нужна этому типу как выразительный штрих общественной репутации.
004031_RUSLAN|Швейцер и его родители американцы.|Швейцер и его родители американцы.
004032_RUSLAN|Но дед, естественно, из Кишинева.|Но дед, естественно, из Кишинева.
004033_RUSLAN|Так что эмигрантские проблемы Швейцеру более или менее доступны.|Так что эмигрантские проблемы Швейцеру более или менее доступны.
004034_RUSLAN|Мокер перевел дыхание.|Мокер перевел дыхание.
004035_RUSLAN|Мы боялись верить.|Мы боялись верить.
004036_RUSLAN|Эрик Баскин сказал|Эрик Баскин сказал
004038_RUSLAN|Дождемся окончательного решения вопроса.|Дождемся окончательного решения вопроса.
004039_RUSLAN|Но выпьем-то мы уже сейчас?|Но выпьем-то мы уже сейчас?
004040_RUSLAN|забеспокоился Дроздов.|забеспокоился Дроздов.
004041_RUSLAN|Возражений. говорю, не имеется.|Возражений. говорю, не имеется.
004042_RUSLAN|Как это ни удивительно, деньги мы все же получили шестнадцать тысяч.|Как это ни удивительно, деньги мы все же получили шестнадцать тысяч.
004043_RUSLAN|Я спросил у Мокера|Я спросил у Мокера
004044_RUSLAN|А почему не двадцать?|А почему не двадцать?
004045_RUSLAN|Или не пятнадцать?|Или не пятнадцать?
004046_RUSLAN|Мокер ответил, что круглая сумма это всегда подозрительно.|Мокер ответил, что круглая сумма это всегда подозрительно.
004047_RUSLAN|А в шестнадцати тысячах ощущается строгий расчет.|А в шестнадцати тысячах ощущается строгий расчет.
004048_RUSLAN|СОЛО НА УНДЕРВУДЕ|СОЛО НА УНДЕРВУДЕ
004049_RUSLAN|Мой приятель Валерий Грубин деньги на водку занимал своеобразно.|Мой приятель Валерий Грубин деньги на водку занимал своеобразно.
004050_RUSLAN|Я уже должен вам тридцать рублей.|Я уже должен вам тридцать рублей.
004051_RUSLAN|Одолжите еще пятерку для ровного счета.|Одолжите еще пятерку для ровного счета.
004052_RUSLAN|Таинственный Ларри Швейцер захотел с нами познакомиться.|Таинственный Ларри Швейцер захотел с нами познакомиться.
004053_RUSLAN|Мы приехали в его служебный офис.|Мы приехали в его служебный офис.
004054_RUSLAN|Это были две небольшие комнаты, заваленные всяким хламом.|Это были две небольшие комнаты, заваленные всяким хламом.
004055_RUSLAN|Баскин разочарованно поморщился.|Баскин разочарованно поморщился.
004056_RUSLAN|Но Мокер объяснил ему|Но Мокер объяснил ему
004057_RUSLAN|Миллионеры здесь не любят выделяться.|Миллионеры здесь не любят выделяться.
004058_RUSLAN|В Мерседесах разъезжают только гангстеры и сутенеры.|В Мерседесах разъезжают только гангстеры и сутенеры.
004059_RUSLAN|А настоящие богачи стараются выглядеть поскромнее.|А настоящие богачи стараются выглядеть поскромнее.
004060_RUSLAN|Наверное, меня все принимают за богача.|Наверное, меня все принимают за богача.
004061_RUSLAN|Поскольку мои единственные брюки лопнули на заднице.|Поскольку мои единственные брюки лопнули на заднице.
004062_RUSLAN|Но тут появился Ларри Швейцер.|Но тут появился Ларри Швейцер.
004063_RUSLAN|Мокер стал представлять нас.|Мокер стал представлять нас.
004064_RUSLAN|Баскина и Дроздова он назвал знаменитыми журналистами, а меня знаменитым писателем.|Баскина и Дроздова он назвал знаменитыми журналистами, а меня знаменитым писателем.
004065_RUSLAN|Каждый раз Ларри дружелюбно восклицал О!.. Это был подвижный рыжеватый человек лет сорока.|Каждый раз Ларри дружелюбно восклицал О!. Это был подвижный рыжеватый человек лет сорока.
004066_RUSLAN|На его кремовых брюках выделялась ровная складка.|На его кремовых брюках выделялась ровная складка.
004067_RUSLAN|Коричневые туфли блестели.|Коричневые туфли блестели.
004068_RUSLAN|Зеленая бобочка облегала не слишком тощую поясницу.|Зеленая бобочка облегала не слишком тощую поясницу.
004069_RUSLAN|В Ленинграде так одеваются продавцы комиссионных магазинов.|В Ленинграде так одеваются продавцы комиссионных магазинов.
004070_RUSLAN|Ларри куда-то позвонил.|Ларри куда-то позвонил.
004071_RUSLAN|Через минуту нам принесли бутерброды и кофе.|Через минуту нам принесли бутерброды и кофе.
004072_RUSLAN|Виля Мокер торжествующе взглянул на Баскина.|Виля Мокер торжествующе взглянул на Баскина.
004073_RUSLAN|Мол, что я говорил?!|Мол, что я говорил?!
004074_RUSLAN|Солидная фирма.|Солидная фирма.
004075_RUSLAN|Дроздов предложил|Дроздов предложил
004076_RUSLAN|Может, сбегать за водкой?|Может, сбегать за водкой?
004077_RUSLAN|Этого еще не хватало!|Этого еще не хватало!
004078_RUSLAN|прикрикнул Мокер.|прикрикнул Мокер.
004079_RUSLAN|Ларри достал блокнот, калькулятор и авторучку.|Ларри достал блокнот, калькулятор и авторучку.
004080_RUSLAN|Потом сказал|Потом сказал
004082_RUSLAN|Америке нужны талантливые люди.|Америке нужны талантливые люди.
004083_RUSLAN|Я говорил с друзьями.|Я говорил с друзьями.
004084_RUSLAN|Я думаю, вы можете получить ссуду на издание еврейской газеты.|Я думаю, вы можете получить ссуду на издание еврейской газеты.
004085_RUSLAN|Но это должна быть именно еврейская газета.|Но это должна быть именно еврейская газета.
004086_RUSLAN|Еврейская газета на русском языке для беженцев из Союза.|Еврейская газета на русском языке для беженцев из Союза.
004087_RUSLAN|Цель такой газеты приблизить читателей к еврейскому Богу и сионистским традициям.|Цель такой газеты приблизить читателей к еврейскому Богу и сионистским традициям.
004088_RUSLAN|Я попытался возразить|Я попытался возразить
004089_RUSLAN|Нельзя ли использовать более общую формулировку?|Нельзя ли использовать более общую формулировку?
004090_RUSLAN|Например, газета третьей эмиграции?|Например, газета третьей эмиграции?
004091_RUSLAN|Без ударения на еврействе.|Без ударения на еврействе.
004092_RUSLAN|А еще лучше вообще не указывать, кто мы такие.|А еще лучше вообще не указывать, кто мы такие.
004093_RUSLAN|Издавать еженедельник для всех, кто читает по-русски.|Издавать еженедельник для всех, кто читает по-русски.
004094_RUSLAN|Уделяя, разумеется, при этом место и еврейскому вопросу.|Уделяя, разумеется, при этом место и еврейскому вопросу.
004095_RUSLAN|Так мы соберем наибольшее число подписчиков.|Так мы соберем наибольшее число подписчиков.
004096_RUSLAN|Но ведь бегут из России, главным образом, евреи?|Но ведь бегут из России, главным образом, евреи?
004097_RUSLAN|удивился Ларри.|удивился Ларри.
004098_RUSLAN|Уехало довольно много русских, грузин, прибалтийцев.|Уехало довольно много русских, грузин, прибалтийцев.
004099_RUSLAN|Не говоря о смешанных браках.|Не говоря о смешанных браках.
004100_RUSLAN|Кроме того, советские евреи не очень религиозны.|Кроме того, советские евреи не очень религиозны.
004101_RUSLAN|Большая часть еврейской интеллигенции воспитана на русской литературе.|Большая часть еврейской интеллигенции воспитана на русской литературе.
004102_RUSLAN|Пока я говорил все это, Мокер страшно нервничал.|Пока я говорил все это, Мокер страшно нервничал.
